"Country","Ticker","Inception_date","Exp_ratio","PriceEarning","PriceBook","PriceSales","PriceCashFlow","year_ret","three_month_ret","one_month_ret"
"Austria","EWO","3/12/96",0.48,"13.34","1.34","1.14","3.86","52.50","6.03","3.34"
"Belgium","EWK","3/12/96",0.48,"18.86","2","1.46","8.31","23.71","0.50","0.98"
"Canada","EWC","3/12/96",0.48,"15.56","1.97","1.75","6.21","13.30","3.84","0.52"
"Denmark","EDEN","1/25/12",0.53,"17.79","3.01","1.97","8.35","35.40","0.38","2.68"
"Finland","EFNL","1/25/12",0.53,"16.18","1.83","1.4","11.23","23.79","-2.25","0.61"
"France","EWQ","3/12/96",0.48,"16.03","1.69","1.09","4.63","36.53","5.59","-0.10"
"Germany","EWG","3/12/96",0.48,"15.26","1.87","0.96","7.39","36.52","8.06","0.51"
"Hong Kong","EWH","3/12/96",0.48,"16.97","1.4","2.23","8.61","24.59","3.93","3.97"
"Ireland","EIRL","5/5/10",0.48,"17.82","2","1.34","8.88","29.82","4.44","4.33"
"Israel","EIS","3/26/08",0.64,"10.89","1.1","1.28","2.19","12.78","4.05","4.35"
"Italy","EWI","3/12/96",0.48,"12.23","1.12","0.87","3.22","28.73","-2.40","-1.30"
"Japan","EWJ","3/12/96",0.48,"15.09","1.6","1","5.48","22.28","9.50","2.15"
"Netherlands","EWN","3/12/96",0.48,"14.82","2","1.54","10.27","33.75","1.66","1.20"
"New Zealand","ENZL","9/1/10",0.48,"19.26","1.99","2.23","9.68","24.05","2.68","6.29"
"Norway","ENOR","1/23/12",0.53,"14.69","1.61","1.53","7.35","21.99","-0.23","3.63"
"Singapore","EWS","3/12/96",0.48,"15.36","1.32","2.58","1.51","34.81","8.79","0.52"
"Spain","EWP","3/12/96",0.48,"14.2","1.38","1.32","6.1","26.99","-1.17","-0.87"
"Sweden","EWD","3/12/96",0.48,"16.29","1.92","1.88","2.52","21.88","-4.57","-0.12"
"Switzerland","EWL","3/12/96",0.48,"23.59","2.5","2.07","9.67","23.36","1.57","1.72"
"United Kingdom","EWU","3/12/96",0.48,"15.23","1.61","1.33","4.53","21.59","4.73","4.22"
"China","MCHI","3/29/11",0.64,"13.2","1.79","1.87","2.77","54.68","6.84","1.76"
"Peru","EPU","6/19/09",0.63,"16.8","1.91","1.89","5.89","29.69","7.69","1.76"
"Brazil","EWZ","7/10/00",0.63,"14.18","1.75","1.54","4.74","18.00","-3.25","-3.66"
"Chile","ECH","11/12/07",0.64,"19.71","1.61","1.45","7.99","41.82","7.38","16.23"
"Colombia","ICOL","6/18/13",0.61,"15.78","1.25","0.49","5.28","17.80","-5.79","0.88"
"India","INDA","2/2/12",0.71,"21.09","3.13","2.15","12.11","36.08","10.63","4.49"
"Indonesia","EIDO","5/5/10",0.63,"17.32","2.41","2.96","11.24","19.39","6.64","6.68"
"Malaysia","EWM","3/12/96",0.48,"16.41","1.53","2.56","4.88","18.15","2.57","1.87"
"Mexico","EWW","3/12/96",0.48,"16.2","2.12","1.45","7.64","14.50","-8.81","-0.78"
"Philippines","EPHE","9/28/10",0.64,"19.09","2.24","2.28","7.71","20.20","5.07","6.11"
"Poland","EPOL","5/25/10",0.64,"11.93","1.37","1.27","3.51","52.44","3.80","3.02"
"Qatar","QAT","4/29/14",0.64,"10.91","0.66","2.76","6.91","-11.57","3.13","16.72"
"Russian Federation","ERUS","11/9/10",0.64,"7.21","0.81","0.9","3.66","3.92","2.78","1.99"
"South Africa","EZA","2/3/03",0.64,"15.92","2.22","1.92","9.28","36.04","20.25","10.35"
"SouthKorea","EWY","5/9/00",0.64,"9.96","1.12","0.67","3.09","45.00","11.74","2.69"
"Taiwan","EWT","6/20/00",0.64,"14.4","1.79","1.07","5.82","23.55","-1.01","-2.62"
"Thailand","THD","3/26/08",0.63,"15.55","1.92","1.54","5.71","31.48","7.74","3.92"
"Turkey","TUR","3/26/08",0.64,"8.38","1.31","1.08","3.62","22.28","-18.06","-9.40"
"United Arab Emirates","UAE","4/29/14",0.64,"10.86","1.2","2.03","8.11","4.98","-2.66","1.39"
